# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Mar 19 06:55:09 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia DR2 + Tycho2 + 2MASS (all Vegamags, Gaia passbands from Evans et al. 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag  B_Tmag  V_Tmag  Jmag    Hmag    Ksmag
0.01471 0.00000 9.00000 0.4500000179 2.1822810173    0.450 -1.627  3.5364  4.815    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.837 9.594 10.856 8.539 12.370 10.810 6.997 6.377 6.150
0.01471 0.00000 9.00000 0.5000000000 2.2374541759    0.500 -1.471  3.5511  4.764    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.5e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.447 9.116 10.277 8.097 11.763 10.229 6.645 6.015 5.795
0.01471 0.00000 9.00000 0.5091509223 2.2466928959    0.509 -1.440  3.5547  4.756    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-15      0.00 7.110e-01 2.743e-01 2.652e-03 7.156e-04 6.490e-03 -1.000 1.475e-02 8.370 9.017 10.155 8.008 11.638 10.107 6.578 5.946 5.728
0.01471 0.00000 9.00000 0.5500000119 2.2836582661    0.550 -1.310  3.5698  4.719    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.63e-15      0.00 7.130e-01 2.723e-01 2.634e-03 7.107e-04 6.446e-03 -1.000 1.467e-02 8.044 8.601 9.644 7.632 11.119 9.595 6.294 5.652 5.443
0.01471 0.00000 9.00000 0.5601863861 2.2919158936    0.560 -1.276  3.5747  4.712    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.92e-15      0.00 7.131e-01 2.722e-01 2.633e-03 7.105e-04 6.444e-03 -1.000 1.466e-02 7.959 8.488 9.503 7.531 10.976 9.454 6.222 5.576 5.372
0.01471 0.00000 9.00000 0.6000000238 2.3211214542    0.600 -1.148  3.5930  4.688    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.23e-15      0.00 7.134e-01 2.720e-01 2.631e-03 7.099e-04 6.439e-03 -1.000 1.461e-02 7.640 8.071 8.989 7.161 10.448 8.940 5.952 5.292 5.110
0.01471 0.00000 9.00000 0.6152634025 2.3311719894    0.615 -1.098  3.6010  4.681    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-15      0.00 7.135e-01 2.718e-01 2.630e-03 7.096e-04 6.436e-03 -1.000 1.463e-02 7.514 7.907 8.787 7.017 10.234 8.738 5.846 5.180 5.010
0.01471 0.00000 9.00000 0.6377906799 2.3450000286    0.638 -1.025  3.6126  4.671    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.85e-15      0.00 7.137e-01 2.716e-01 2.629e-03 7.092e-04 6.433e-03 -1.000 1.465e-02 7.334 7.672 8.500 6.810 9.921 8.451 5.691 5.024 4.871
0.01471 0.00000 9.00000 0.6499999762 2.3520355225    0.650 -0.987  3.6190  4.666    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.45e-15      0.00 7.138e-01 2.716e-01 2.628e-03 7.091e-04 6.432e-03 -1.000 1.465e-02 7.238 7.547 8.348 6.701 9.752 8.297 5.610 4.944 4.800
0.01471 0.00000 9.00000 0.7000000477 2.3779268265    0.700 -0.833  3.6471  4.656    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-14      0.00 7.141e-01 2.713e-01 2.626e-03 7.084e-04 6.426e-03 -1.000 1.464e-02 6.852 7.028 7.701 6.259 8.987 7.645 5.296 4.662 4.554
0.01471 0.00000 9.00000 0.7026700377 2.3791906834    0.703 -0.825  3.6486  4.656    0  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-14      0.00 7.141e-01 2.713e-01 2.623e-03 7.083e-04 6.425e-03 -1.000 1.464e-02 6.832 7.000 7.666 6.235 8.943 7.610 5.280 4.649 4.543
0.01471 0.00000 9.00000 0.7500000000 2.3998889923    0.750 -0.686  3.6754  4.653    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-14      0.00 7.144e-01 2.710e-01 2.588e-03 7.068e-04 6.420e-03 -1.000 1.461e-02 6.485 6.538 7.100 5.847 8.204 7.029 5.013 4.464 4.376
