# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Mar 19 12:50:06 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia DR2 + Tycho2 + 2MASS (all Vegamags, Gaia passbands from Weiler 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag  B_Tmag  V_Tmag  Jmag    Hmag    Ksmag
0.01471 0.00000 6.60206 0.2263698876 1.7763714790    0.226 -1.209  3.4672  3.823    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.02e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.793 9.203 11.087 11.116 7.902 12.450 11.041 5.780 5.200 4.910
0.01471 0.00000 6.60206 0.2429943234 1.8222125769    0.243 -1.172  3.4714  3.833    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.1e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.699 9.069 10.911 10.940 7.779 12.267 10.863 5.695 5.110 4.827
0.01471 0.00000 6.60206 0.2628943920 1.8719996214    0.263 -1.126  3.4772  3.844    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.22e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.584 8.901 10.687 10.716 7.625 12.037 10.638 5.591 4.999 4.724
0.01471 0.00000 6.60206 0.2874282897 1.9270288944    0.287 -1.070  3.4844  3.856    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.38e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.445 8.699 10.415 10.445 7.443 11.769 10.367 5.469 4.866 4.600
0.01471 0.00000 6.60206 0.3000000119 1.9529139996    0.300 -1.045  3.4875  3.862    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.45e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.383 8.608 10.293 10.324 7.361 11.652 10.245 5.414 4.806 4.544
0.01471 0.00000 6.60206 0.3147589564 1.9815599918    0.315 -1.015  3.4915  3.869    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.54e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.308 8.501 10.149 10.180 7.264 11.510 10.101 5.349 4.735 4.478
0.01471 0.00000 6.60206 0.3500000238 2.0434176922    0.350 -0.950  3.5001  3.884    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.76e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.144 8.274 9.854 9.886 7.057 11.202 9.802 5.205 4.575 4.327
0.01471 0.00000 6.60206 0.3865071535 2.0994937420    0.386 -0.888  3.5088  3.900    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.97e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.989 8.057 9.571 9.604 6.861 10.908 9.515 5.071 4.425 4.185
0.01471 0.00000 6.60206 0.4000000358 2.1185026169    0.400 -0.865  3.5119  3.905    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.06e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.933 7.978 9.469 9.502 6.790 10.804 9.412 5.023 4.371 4.134
0.01471 0.00000 6.60206 0.4446197152 2.1758706570    0.444 -0.794  3.5227  3.922    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.35e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.754 7.724 9.132 9.166 6.564 10.469 9.072 4.873 4.202 3.972
0.01471 0.00000 6.60206 0.4506557584 2.1830554008    0.450 -0.785  3.5240  3.925    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.38e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.733 7.693 9.090 9.124 6.536 10.428 9.029 4.855 4.182 3.953
0.01471 0.00000 6.60206 0.4889903963 2.2259397507    0.489 -0.729  3.5329  3.940    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.63e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.592 7.490 8.819 8.854 6.359 10.165 8.756 4.740 4.052 3.829
0.01471 0.00000 6.60206 0.5000000000 2.2374541759    0.500 -0.713  3.5354  3.944    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.71e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.553 7.434 8.744 8.779 6.309 10.092 8.681 4.707 4.015 3.794
0.01471 0.00000 6.60206 0.5058012009 2.2433557510    0.506 -0.705  3.5369  3.947    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.75e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.532 7.402 8.701 8.737 6.283 10.050 8.638 4.691 3.996 3.776
0.01471 0.00000 6.60206 0.5276541710 2.2642526627    0.527 -0.674  3.5423  3.955    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.454 7.288 8.547 8.584 6.184 9.902 8.484 4.628 3.925 3.710
0.01471 0.00000 6.60206 0.5500000119 2.2836582661    0.550 -0.646  3.5467  3.963    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.04e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.386 7.190 8.416 8.453 6.099 9.777 8.352 4.571 3.863 3.651
0.01471 0.00000 6.60206 0.5530184507 2.2861418724    0.553 -0.642  3.5474  3.964    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.06e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.376 7.174 8.395 8.432 6.085 9.757 8.331 4.563 3.853 3.642
0.01471 0.00000 6.60206 0.5783695579 2.3058280945    0.578 -0.606  3.5538  3.974    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.26e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.286 7.041 8.215 8.253 5.972 9.588 8.152 4.492 3.772 3.567
0.01471 0.00000 6.60206 0.6000000238 2.3211214542    0.600 -0.579  3.5586  3.981    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.41e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.218 6.941 8.082 8.121 5.887 9.464 8.019 4.437 3.711 3.511
0.01471 0.00000 6.60206 0.6183624864 2.3331432343    0.618 -0.555  3.5630  3.989    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.56e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.159 6.851 7.961 8.000 5.812 9.351 7.898 4.390 3.658 3.464
0.01471 0.00000 6.60206 0.6466924548 2.3501596451    0.647 -0.521  3.5694  3.999    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.77e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.072 6.721 7.786 7.826 5.703 9.188 7.724 4.322 3.581 3.395
0.01471 0.00000 6.60206 0.6499999762 2.3520355225    0.650 -0.517  3.5701  4.000    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.79e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.062 6.706 7.766 7.806 5.690 9.170 7.705 4.314 3.572 3.387
0.01471 0.00000 6.60206 0.6690747738 2.3624382019    0.669 -0.492  3.5747  4.006    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.97e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 6.000 6.613 7.642 7.682 5.613 9.052 7.581 4.265 3.520 3.340
0.01471 0.00000 6.60206 0.6973144412 2.3766443729    0.697 -0.457  3.5810  4.015    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.22e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 5.913 6.483 7.470 7.510 5.504 8.888 7.410 4.196 3.446 3.274
0.01471 0.00000 6.60206 0.7000000477 2.3779268265    0.700 -0.454  3.5816  4.016    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.24e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 5.905 6.471 7.454 7.495 5.494 8.872 7.394 4.189 3.440 3.268
0.01471 0.00000 6.60206 0.7471117377 2.3987121582    0.747 -0.332  3.6202  4.077    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.27e-14      0.00 7.107e-01 2.745e-01 2.622e-03 7.154e-04 6.497e-03 -1.000 1.476e-02 5.600 5.920 6.690 6.731 5.069 8.057 6.632 3.981 3.269 3.141
0.01471 0.00000 6.60206 0.7500000000 2.3998889923    0.750 -0.323  3.6227  4.079    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.37e-14      0.00 7.107e-01 2.745e-01 2.620e-03 7.153e-04 6.497e-03 -1.000 1.476e-02 5.579 5.885 6.643 6.685 5.041 8.003 6.586 3.965 3.258 3.132
