# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Mar 19 12:56:02 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia DR2 + Tycho2 + 2MASS (all Vegamags, Gaia passbands from Weiler 2018)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag  B_Tmag  V_Tmag  Jmag    Hmag    Ksmag
0.01471 0.00000 7.17609 0.0900000036 1.0816895962    0.090 -2.182  3.4016  4.133    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.39e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.226 12.237 14.843 14.869 10.790 16.479 14.804 8.120 7.555 7.215
0.01471 0.00000 7.17609 0.0958791673 1.1357315779    0.096 -2.143  3.4058  4.138    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.52e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.129 12.140 14.748 14.774 10.693 16.387 14.709 8.023 7.458 7.118
0.01471 0.00000 7.17609 0.1000000015 1.1711064577    0.100 -2.116  3.4086  4.141    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.62e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 10.061 12.073 14.682 14.707 10.626 16.321 14.642 7.955 7.390 7.051
0.01471 0.00000 7.17609 0.1167474017 1.2974932194    0.117 -2.018  3.4188  4.151    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -3e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.816 11.800 14.379 14.405 10.359 16.017 14.340 7.713 7.148 6.810
0.01471 0.00000 7.17609 0.1200000048 1.3193155527    0.120 -2.001  3.4207  4.152    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.08e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.771 11.738 14.296 14.322 10.301 15.930 14.257 7.672 7.106 6.769
0.01471 0.00000 7.17609 0.1400000006 1.4384527206    0.140 -1.901  3.4312  4.162    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.55e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.522 11.340 13.725 13.752 9.935 15.321 13.684 7.444 6.876 6.548
0.01471 0.00000 7.17609 0.1519067436 1.4993411303    0.152 -1.847  3.4374  4.168    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.82e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.388 11.127 13.425 13.453 9.740 14.994 13.383 7.321 6.752 6.430
0.01471 0.00000 7.17609 0.1652569920 1.5606330633    0.165 -1.793  3.4436  4.175    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.12e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.252 10.913 13.126 13.154 9.543 14.668 13.082 7.196 6.625 6.310
0.01471 0.00000 7.17609 0.1756710261 1.6041399240    0.176 -1.754  3.4480  4.180    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.33e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.155 10.763 12.917 12.945 9.405 14.442 12.872 7.107 6.535 6.225
0.01471 0.00000 7.17609 0.1867202073 1.6467782259    0.187 -1.713  3.4523  4.183    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.61e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 9.053 10.609 12.702 12.731 9.263 14.215 12.657 7.013 6.440 6.135
0.01471 0.00000 7.17609 0.2155340165 1.7440667152    0.216 -1.621  3.4626  4.194    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.25e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.822 10.260 12.218 12.247 8.945 13.709 12.173 6.804 6.226 5.932
0.01471 0.00000 7.17609 0.2344925255 1.7992970943    0.235 -1.566  3.4685  4.200    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.67e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.685 10.063 11.951 11.981 8.764 13.428 11.906 6.679 6.098 5.811
0.01471 0.00000 7.17609 0.2504953742 1.8415815830    0.251 -1.524  3.4732  4.206    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -6e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.580 9.911 11.746 11.777 8.626 13.214 11.700 6.583 5.999 5.718
0.01471 0.00000 7.17609 0.2776598036 1.9058774710    0.278 -1.457  3.4806  4.213    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.58e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.414 9.671 11.423 11.454 8.407 12.880 11.377 6.433 5.843 5.571
0.01471 0.00000 7.17609 0.3000000119 1.9529139996    0.300 -1.407  3.4864  4.220    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.05e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.289 9.489 11.175 11.207 8.244 12.637 11.131 6.323 5.727 5.461
0.01471 0.00000 7.17609 0.3335975409 2.0156848431    0.334 -1.341  3.4938  4.230    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -7.7e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.123 9.258 10.869 10.901 8.033 12.325 10.824 6.175 5.571 5.313
0.01471 0.00000 7.17609 0.3500000238 2.0434176922    0.350 -1.311  3.4973  4.234    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.03e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 8.047 9.154 10.734 10.766 7.938 12.183 10.688 6.106 5.499 5.244
0.01471 0.00000 7.17609 0.3661705256 2.0691518784    0.366 -1.283  3.5004  4.238    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.32e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.978 9.060 10.613 10.645 7.853 12.055 10.566 6.044 5.433 5.182
0.01471 0.00000 7.17609 0.4000000358 2.1185026169    0.400 -1.227  3.5066  4.246    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.99e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.838 8.874 10.376 10.409 7.683 11.807 10.328 5.919 5.300 5.054
0.01471 0.00000 7.17609 0.4430607259 2.1739943027    0.443 -1.163  3.5144  4.257    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.75e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.679 8.658 10.098 10.131 7.487 11.518 10.047 5.779 5.149 4.910
0.01471 0.00000 7.17609 0.4500000179 2.1822810173    0.450 -1.153  3.5156  4.259    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.88e-15      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.654 8.624 10.054 10.088 7.456 11.474 10.004 5.756 5.126 4.887
0.01471 0.00000 7.17609 0.4811608493 2.2175438404    0.481 -1.112  3.5210  4.268    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.550 8.482 9.870 9.904 7.329 11.286 9.818 5.666 5.029 4.794
0.01471 0.00000 7.17609 0.5000000000 2.2374541759    0.500 -1.087  3.5241  4.272    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.487 8.397 9.761 9.796 7.253 11.177 9.709 5.612 4.971 4.738
0.01471 0.00000 7.17609 0.5100488663 2.2475788593    0.510 -1.075  3.5259  4.276    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-14      0.00 7.107e-01 2.745e-01 2.655e-03 7.163e-04 6.496e-03 -1.000 1.476e-02 7.457 8.354 9.704 9.738 7.215 11.120 9.652 5.587 4.944 4.712
